Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Website,Contact Email,Full Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,New
CyberBee,https://www.crunchbase.com/organization/cyberbee,"Cyber Security, Insurance","Glasgow, Glasgow City, United Kingdom",Cyber Insurance Broker ,"180,595",7/8/18,day,https://thecyberbee.com,buzz@thecyberbee.com,"Drawing on over 150 years of insurance experience, we’ve developed CyberBee to meet the unique challenges of Cyber Risks.  By providing advice and knowledge specific to your industry, we help facilitate what needs to be done to keep your business protected. Our specialist insurer partners will act fast to reduce the damage and get you back up and running. You can count on us to support your business and reputation. Be confident you have the control measures in place to protect your confidential data, systems and assets Cyber Risks and Real Bee Sure, Bee Safe, Bee Secure",,,,,New
LICENS3D,https://www.crunchbase.com/organization/licens3d,"3D Printing, 3D Technology, Blockchain, CAD, Cyber Security, Manufacturing, Network Security","Barcelona, Catalonia, Spain","Blockchain platform that hinders unauthorized distribution, proves ownership and protects unrestricted reproduction from 3D files.","183,845",1/8/18,day,http://www.licens3d.com,contact@licens3d.com,"Barcelona based startup that is focused on resolving the challenges that exist in protecting intellectual property thoughts the entire product design and manufacturing process.Current team members are Viktor Nordstrom, founder of CL3VER, Josep Lluis de la Rosa, professor of the University of Girona and David Belgoff, entrepreneur and industrial designer. The company has its origins in “The Collider”, an innovative venture builder program that combines best of breed from the Spanish scientific and entrepreneurial communities in order to launch highly innovative technological startups.   The program was created by Mobile World Capital, consortium backed by the Spanish Ministry of Industry, Energy and Tourism of Spain, the Government of Catalonia, the Barcelona City Council, Fira de Barcelona and GSMA, the Mobile World Capital also counts with the support of private partners that contribute to the development of the mobile and digital ecosystem in Barcelona.",,,,,New
Fathom5,https://www.crunchbase.com/organization/fathom5,"Cyber Security, Data Integration, Electronics, Machine Learning, Marine Transportation","Austin, Texas, United States",Industrial technology focused on enabling a secure digital backplane for maritime trade. ,"183,919",1/29/18,day,https://fathom5.co,info@fathom5.co,"Fathom5 is an industrial cybersecurity company focused on the maritime sector. We provide the world's ports, ships and their insurers with secure hardware, analytics, and services that make their deeply interdependent critical systems safer, more efficient, and more profitable. ",,,,,In Contact
ClassiDocs,https://www.crunchbase.com/organization/classidocs,"Cyber Security, Information Technology","Raleigh, North Carolina, United States","ClassiDocs is a user rich, full enterprise data classification & governance platform.","185,008",1/1/16,year,http://www.classidocs.com,sales@classidocs.com,,,,,,New
DeepBits Technology,https://www.crunchbase.com/organization/deepbits-technology,Cyber Security,"Riverside, California, United States","Cybersecurity, Vulnerability Discovery on IoT devices, container images,  cloud platform, and other devices, malware intelligence.","185,163",9/20/17,day,http://www.deepbitstech.com,xchu@deepbitstech.com,"Google was founded to organize the world’s information and make it universally accessible and useful. Inspired by Google, we, a team with decades of experiences on cybersecurity, started DeepBits, to provide indexing and searching for the world’s binary code. We are focused on organizing the world’s binary code to provide cybersecurity solutions for various devices. Backed up by over a decade multimillion dollars research sponsored by National Science Foundation and Department of Defense, we are now able to identify vulnerabilities in your computer, mobile phones, and IoT devices in a split of second, and we are able to classify malware and trace back to the source despite that they often try to transform themselves and hide their identities. Wanna know more details? Check out our company - DeepBits Technology.",,,,,New
Top10VPN,https://www.crunchbase.com/organization/top10vpn,"Cyber Security, Privacy","London, England, United Kingdom",Top10VPN.com is the world’s largest VPN (Virtual Private Network) review website.,"185,558",1/1/16,day,https://www.top10vpn.com,hello@top10vpn.com,"Top10VPN.com is the world’s largest VPN (Virtual Private Network) review site. We've helped millions of internet citizens in over 190 countries find the right VPN to protect their privacy online. Our mission is to make digital privacy simple for everyone and we invest heavily in research and privacy advocacy to support this. Our work has been featured by leading publications around the world including the New York Times, Bloomberg and Forbes. ",,,,,New
Unitychain,https://www.crunchbase.com/organization/unitychain,"Blockchain, Cyber Security, Information Technology, Internet",,Cybersecurity / DLT / Blockchain - SaaS,"185,690",3/1/18,day,https://www.unitychain.io,jon@unitychain.io,"Unitychain™ is a next generation evolution of blockchain. Utilizing distributed hash tables (DHTs), our innovative architecture, and novel consensus mechanism (The Unity Protocol), we have effectively solved blockchain scalability without sacrificing decentralization, security,  or speed. Unitychain™ is creating a new OS (Operating System) for the Internet of Value. Our network speed and security scales with more participants, while being lightweight enough for Mobile Friendly Validation. Speed and security occur in parallel with our RNG Protocol. Participants of our network earn 99% of validation, storage, and block rewards.",,,,,New
CRITIFENCE,https://www.crunchbase.com/organization/critifence,"Cyber Security, Database, Software",,"CRITIFENCE provides unique cyber security solutions designed for critical infrastructure, SCADA and Industrial control systems.","186,317",1/1/16,year,http://critifence.com,info@critifence.com,"CRITIFENCE is a leading Cyber Security vendor specialized in Critical Infrastructure, SCADA and OT Networks.  CRITIFENCE provides unique Cyber Security solutions designed for Critical Infrastructure, SCADA and Industrial Control Systems which allow to monitor and control OT network easily and totally passively. CRITIFENCE® designed to deal with the challenge of defending stable and complex OT environments combine different hardware equipment such PLCs, HMIs and more which serve high-importance critical processes in Critical Infrastructures, SCADA and Industrial Control Systems.  CRITIFENCE development team combined from top experienced SCADA and cyber security experts and researchers of the IDF’s Technology & Intelligence Unit 8200 (Israel’s NSA) is focused in developing a powerful, comprehensive and easy to install cyber security solution for Critical Infrastructures, SCADA and Industrial Control Systems. Their vision is a secure and survivable cyber defense methodology of physical processes in Critical Infrastructures, SCADA and Industrial Control Systems.",,,,,New
Sandfly Security,https://www.crunchbase.com/organization/sandfly-security,"Cloud Security, Cyber Security, Network Security, Security","Christchurch, Canterbury, New Zealand","Sandfly Security provides agentless compromise, intrusion detection and forensic investigation systems for Linux.","186,888",6/1/17,day,https://www.sandflysecurity.com,info@sandflysecurity.com,"Sandfly is an agentless intrusion and compromise detection system for Linux. Sandfly gives instant protection for cloud or non-cloud based Linux systems without the trouble of deploying agents. Sandfly can run on all Linux distributions without any modifications. Sandfly brings Linux security expertise to teams that may be lacking it in-house and boosts the capabilities of existing Linux security teams with fully automated sweeps for intruders 24 hours a day. The product saves time and money by making your Linux security coverage more complete and reducing the dwell time of hackers inside your network. Also, we can do this without needing to load any software on your endpoints.  Sandfly investigates Linux systems for standard and stealth rootkits, malware, and other signs of compromise in seconds. Sandfly is able to investigate and hunt for threats on your Linux infrastructure thousands of times a day without impacting performance. Our methods provide thorough coverage to detect intrusions, even if attackers are employing stealth and active evasion tactics. Sandfly's innovative approach allowed it to be selected as part of the Vodafone Xone Startup Accelerator program.",,,,,New
Fortraiz,https://www.crunchbase.com/organization/fortraiz,"Artificial Intelligence, Cyber Security, Information Technology, Internet, Security","Bangalore, Karnataka, India",AI First Company trying to solve security challenges in Internet,"186,989",11/10/16,day,http://fortraiz.com,rahul@fortraiz.com,,,,,,New
"vFeed, Inc.",https://www.crunchbase.com/organization/vfeed-io,"Cyber Security, Enterprise Software, Network Security, Security","Newark, Delaware, United States",Vulnerability and Threat Intelligence Database Provider,"187,110",8/31/16,day,https://vfeed.io,support@vfeed.io,"vFeed IO technology and engines transforms and unifies scattered big data into correlated vulnerability database and threat intelligence multi-formats feeds. We are passionate about protecting vulnerable and sensitive systems, and enabling clients to rapidly detect and react against cyber-attacks Our current worldwide client base comprises of a wide and diverse range of individuals and businesses from hackers, consultancy firms, CERTs and freelancers to governmental organizations, software companies and intelligence providers. U.S. Patent and Trade Office has recognized our method and system for automated computer vulnerability tracking as deserving the effort to be protected and patented (United States Patent No. 9,871,815)",,,,,New
Pulsedive,https://www.crunchbase.com/organization/pulsedive,"Cyber Security, Network Security","Montclair, New Jersey, United States",Pulsedive is an analyst-centric threat intelligence platform that turns malicious activity observed by the community into actionable data.,"187,696",8/28/17,day,https://pulsedive.com,info@pulsedive.com,"Pulsedive is an analyst-centric threat intelligence platform that can provide users with comprehensive community threat intelligence to help identify known threats. Pulsedive collects and generates threat intelligence from feeds and other sources, equating to over one million IPs, domains, and URLs that are searchable for free pulsedive.com.",,,,,New
Seguru,https://www.crunchbase.com/organization/seguru,"Cyber Security, Information Technology, Internet, Security",,Mindful Security,"187,718",7/4/17,day,https://seguru.io/,info@seguru.io,"Mindful Security for Everyone Data security and virtual awareness; in the palm of your hand. :Smart: Your private information is out in the open, prey for anyone with a mind to get their hands on it; a virtual sheep in a world of wolves. You’re smart. You know protecting it is of vital importance.  Data security is about more than simply keeping an unwelcome hand off of your private information; it’s about knowing where your data is traveling, and having the power to do something about it.  Seguru is the vessel with which you can confidently, securely traverse the open space of the internet. :Simple: We pride ourselves on providing detailed, multi-layered protection, and pairing that with an interface that’s both powerful and uncluttered. Seguru is an exhibition in ease-of-use, allowing you to spend less time navigating a labyrinth of menus and more time focusing on what you’re here for; keeping a steady, watchful eye on your private information. :Secure: Knowing where your data is coming from and where it’s going. Knowing it’s shielded from that potential invader lurking in the shadows of the internet. These are comforting thoughts, and just the sort of assuredness that Seguru provides. Security; it’s about knowing where you are and where you’re going. Seguru is your guide. We know your privacy is important to you.",,,,,New
Hawk,https://www.crunchbase.com/organization/hawk,"Analytics, Customer Service, Cyber Security, Developer Tools, Software Engineering, UX Design, Web Apps, Web Development",,Hawk: 👁️Seeing is believing. Visual website analytics.,"189,975",1/1/18,year,https://usehawk.com,help@usehawk.com,"Hawk is a visual website analytics platform devoted to radical simplicity. You specify user interactions you want to see, and Hawk puts videos of them into a feed for you.",,,,,New
HELIX,https://www.crunchbase.com/organization/helix-202f,"Blockchain, Cyber Security, Enterprise, Enterprise Applications, Enterprise Resource Planning (ERP), Enterprise Software, Human Resources, Identity Management, Information Technology","Manhattan, New York, United States",Helix is an enterprise Identity and Access Management platform that enables credential verification throughout your IT ecosystem.,"190,390",1/25/19,day,https://titanlabs-helix.com,Hello@titanlabs-helix.com,"For large institutions who struggle to comply with increasingly complex privacy regulations and auditing, Helix is an Enterprise Identity and Access Management platform that enables credential verification throughout your IT ecosystem. Unlike SAP, Oracle, or IBM that rely on a centralized architecture, Helix is build on a decentralized ledger that is cloud native enabling digitization of your onprem directories, audit logs, and lifecycle management tools.",,,,,New
Umbrella Technologies,https://www.crunchbase.com/organization/umbrella-technologies,"Analytics, Big Data, Business Information Systems, Business Intelligence, Cyber Security, Physical Security, Security","Plainfield, Illinois, United States","Umbrella Technologies is located at the 3 way intersection of physical security, cyber security & business intelligence.","190,495",3/2/16,day,https://umbrellatech.co,info@umbrellatech.co,"Umbrella Technologies is a leading full-service security system integration company focusing on delivering converged open-platform solutions. Having over 15 years of code-level experience designing sophisticated end-to-end video surveillance, access control, mass notification and intrusion protection systems- Umbrella continues to be a valued resource for fortune 500 companies and government agencies seeking security design, implementation and managed services.",,,,,New
Recongate,https://www.crunchbase.com/organization/recongate,"Analytics, Big Data, Cyber Security","Herzliya, Tel Aviv, Israel",ReconGate lets you fuse diverse data sources and apply state of the art machine learning.,"190,854",1/1/16,year,http://recongate.com/,,,,,,,New
SafeSwiss,https://www.crunchbase.com/organization/safeswiss,"Cyber Security, Information Technology, Messaging, Mobile Apps, Privacy, Security, Software, Telecommunications, Video, Virtual Reality","Genève, Geneve, Switzerland",SafeSwiss™ is the world’s most comprehensive end to end encryption (E2E) feature rich communication solution for mobile devices and PC.,"191,455",1/1/17,day,http://www.safeswiss.com/,info@safeswiss.com,"SafeSwiss™ is the world’s most comprehensive end to end (E2E) feature rich encryption communication solution for mobile devices, tablet and PC. As well as pre-programmed self-destruct from 1 second to 1 x year, Users can delete messages, video, pictures from both the senders and recipients devices anytime. SafeSwiss offers crystal clear encrypted voice calling with an arbitrary number of participants and a comprehensive group text chat feature.  SafeSwiss™ security software provides this protection by applying a real-time state of art elliptical curve encryption to all voice calls, text-chat and data exchanges including documents, pictures and video files.",,,,,New
The Right Software,https://www.crunchbase.com/organization/the-right-software,"Cyber Security, Desktop Apps, Mobile Apps, Software, Software Engineering, Web Development","Islamabad, Islamabad, Pakistan","Expert web and mobile app development company, Islamabad.","192,100",8/15/16,day,https://therightsw.com/,hello@therightsw.com,"Expert software development company. Hire us to design websites, mobile apps, eCommerce webshops and emails and API solutions. 130+ projects, 73+ clients and 18 developer strong. Software development in USA, UK and Europe. Best website and mobile app development company. Contact us Free quote for your project today. The Right Software pvt Ltd. is a multi-service software house in Islamabad that came about in 2016. Mere minutes in lives of companies but that does not mean that we are amateurs. The Right Software like to do things by the book even if that means taking extra non-paid burden on projects. We suggest clients with the best software solutions for their particular set of requirements. Even if that means that we will have to do more work than envisioned. Why? Because we believe that making the hard choices, the first time around will stand the software or mobile app in better place. Our services: Application Development Application Modernization Application Rescue & Completion By Technologies: Hire iOS Developers Hire Android Developers Hire Laravel Developers Hire CodeIgniter Developers Solutions: TRS NDT Reporting Software TRS eCommerce TRS Cashback Web Solutions The Right Software believe in working through Agile tools. Our team challenges themselves and each other for betterment. Whoever from our team learns something new, we write about it and we share it among us on the whiteboard. We work with strict professional guidelines that we expect our clients and engineers to follow at all times. We work with select clients on the promise that we’ll handle most aspects of the software. We are always on the looking out for more avenues to test our mettle. Say hello to us hello@therightsw.com.",,,,,New
DataOS,https://www.crunchbase.com/organization/dataos,"Cyber Security, Internet of Things","Munich, Bayern, Germany","DataOS provides a security layer for IoT, connects them in one domain with hierarchical rights management and integrates to a blockchain.","192,373",9/1/16,month,http://www.data-os.com,stephan@data-os.com,"DataOS provides a security layer for IoT, connects them in one domain with hierarchical rights management and integrates to a blockchain.",,,,,In Contact
Supercluster Cybersecurity Alliance,https://www.crunchbase.com/organization/supercluster-cybersecurity-alliance,"Cyber Security, Information Technology, Security, Software","Vancouver, British Columbia, Canada","Our Vision is to deliver cloud security solutions that are easy to use, and deploy and that offer enhanced security.","192,691",1/1/19,year,,media@cyberalliance.co,,,,,,In Contact
CodeSigningStore,https://www.crunchbase.com/organization/codesigningstore,"Cyber Security, Information Technology, Network Security, Security, Software","St. Petersburg, Florida, United States","Largest Code Signing Certificate provider worldwide. Get Cheap price Comodo, Thawte, Sectigo, Symantec Code Signing Certificates.","193,333",3/1/19,day,https://codesigningstore.com,codesigningstore@gmail.com,"CodeSigningStore, is one of the Premium Partner and Largest Code Signing Certificate provider from the world’s leading Certificate Authority Comodo, Sectigo, Symantec, Thawte, & DigiCert. If you are looking to protect your Code, Scripts, Applications or Software using Code Signing Certificate, here at CodeSigningStore you will find some of the best deals. Additionally, they have a team of experts to handle any queries or problem regarding the same.",,,,,New
VISO Trust,https://www.crunchbase.com/organization/viso-trust,"Cyber Security, Risk Management, Security",,Rationalized Due Diligence Platform,"194,997",7/22/16,day,https://www.visotrust.com/,info@visotrust.com,"Imagine your next vendor review, is already done. VISO Trust puts reliable, comprehensive, actionable vendor security information directly in the hands of decisionmakers who need to make informed risk assessments.",,,,,New
Choice TechLab,https://www.crunchbase.com/organization/choice-techlab,"Consulting, Cyber Security, Information Technology","Mumbai, Maharashtra, India",Choice TechLab is one of the best IT consulting service provider company in India. Get complete IT consulting services & solutions.,"195,939",3/1/16,day,https://choicetechlab.com,contact@choicetechlab.com,"Choice Techlab is fast emerging to make a prominent position for itself in the field of technology-enabled solutions and IT services. They aim for digital transformation of a business to foster business growth. Their dynamic processes and a hefty experience skillset enable them to manage clients worldwide across different business verticals. Major engagements of the firm include Digital Strategies, IT Security Services, Cloud as well as Database Services.",,,,,New
Entanglement Partners,https://www.crunchbase.com/organization/entanglement-partners,"Consulting, Cyber Security, Information Technology","Barcelona, Catalonia, Spain",Entanglement Partners is quantum Information & cybersequrity Company.,"196,506",1/1/16,year,https://www.entanglementpartners.com/,info@entanglementpartners.com,Entanglement Partners is quantum Information & cybersequrity Company.,,,,,New
Horizen,https://www.crunchbase.com/organization/horizen,Cyber Security,"Tel Aviv, Tel Aviv, Israel","Founded in 2017 by a team of internet experts and white-hat hackers ex IDF elite intelligence unit, to protect external network.","197,247",12/1/17,month,http://www.horizen.io,hello@horizen.io,"How to protect  trillions of dollars worth digital assets from cyber criminals? In Horizen we believe that cyber protection consists of three dimensions but so far only two dimensions are covered by the existing security solutions. Our visitor identity control system (VICS) is the first to provide the digital industry with the required control over second party intentions and identity. Specialties Cyber security, Web security, Cyber investigation, Cyber attacks prevention, Cloud security, CRM security, IOT security, DDOS prevention, Credential-based attack, Bot detection, Scraping prevention, Carding prevention, Web hacking detection, Digital fraud detection, AI, Phishing remediation, Enterprise protection, API security, and VICS ",,,,,New
SENTURION.IO,https://www.crunchbase.com/organization/senturion-io,"Cloud Security, Cyber Security, Intrusion Detection, Network Security, Security","Dallas, Texas, United States",Automated AWS Cloud Defense,"197,621",9/1/17,month,http://www.senturion.io,sales@senturion.io,"Automated Cloud Defense SENTURION.IO is a cloud security company that offers automated cloud security software to its clients to help protect their cloud environments. The Senturion Guardian platform is an entirely agentless SaaS cloud security platform for actively protecting clients AWS cloud accounts. Senturion Guardian takes advantage of machine learning by integrating directly with AWS GuardDuty, Amazon Web Services intelligent threat detection service. Our platform allows you to create rules to not only to be notified about threats but gives you the ability automatically react to the threats in near real-time. Whether a cloud resource has been compromised or unauthorized access to your account has been detected Senturion Guardian can stop the threat in its tracks.",,,,,New
Verichains Lab,https://www.crunchbase.com/organization/verichains-lab,"Blockchain, Cryptocurrency, Cyber Security, Machine Learning","Ho Chi Minh City, NA - Vietnam, Vietnam","Smart contract development, security audit and blockchain technology research","197,676",2/1/18,day,https://www.verichains.io/,info@verichains.io,"Verichains Lab has a world-class team of 20+ researchers and developers with extensive research and development expertise in the areas of security, cryptography, code audit and blockchain technology. We offer trusted and secure blockchain services such as smart contract code development and audit, blockchain development, cryptocurrency wallet, exchanges and ICO consulting services. ",,,,,New
Egerie Software,https://www.crunchbase.com/organization/egerie-software,"Cyber Security, Risk Management, Software","Toulon, Provence-Alpes-Cote d'Azur, France","EGERIE Software is a software house specialized in cyber security analysis, simulation, and management.","197,687",1/1/16,year,https://www.egerie-software.com,contact@egerie-software.com,"EGERIE solutions are unique and efficient because they have been conceived and designed by cybersecurity experts, motivated by the desire to allow all actors (at least experienced or more expert) to carry out effective cyber security actions and Mastered.",,,,,In Contact
Drones of Prey Inc.,https://www.crunchbase.com/organization/drones-of-prey-inc,"Cyber Security, Drones, Real Estate","Austin, Texas, United States",Drones Security Service,"200,213",10/15/17,day,https://www.dronesofprey.biz,Info@dronesofprey.biz,"Drones of Prey is creating an autonomous defense system designed to protect properties and locations of all different types from aerial incursions by unknown drones. By integrating image and sound recognition with launch platforms and defensively equipped drones, we are building a service that will provide our customers with drastically increased security that requires no effort on their part. Our system will detect, hunt down, and capture any invading unmanned aerial vehicle (UAV), and proceed to coordinate with law enforcement/security post-capture. Whether it’s a sports stadium, a prison, an airfield, or any private property, our clients will rest easier knowing their property is being watched over by Drones of Prey.",,,,,New
Secure Block Technologies,https://www.crunchbase.com/organization/secure-block-technologies,"Cyber Security, Enterprise, Information Technology","Los Angeles, California, United States","Secure Block Technologies provides Threat, Vulnerability and Compliance Management Services.","201,016",1/1/18,year,https://secureblocktech.com/,info@secureblocktech.com,"SBT is a team of Enterprise IT Security Professionals dedicated to providing Threat, Vulnerability and Compliance Management Services to Enterprise Companies, weaving security and Blockchain Technology into their customer’s operational fabric. Their csuccess model is in developing industry changing innovation for their customers that solve their security challenges and drives their business forward. While keeping IT Security at the core of their business, their founders realized the need to leverage Blockchain Technology’s inherent security capabilities to augment increasingly ineffective systems, and made the solutions widely available via their Virtual Chief Information Security Officer (vCISO) and Virtual Chief Blockchain Officer (vCBO) services. They are purpose built from a team of recognized and trusted technology engineers and executives sourced from Fortune 1000 companies, and have a combined experience of over 200 years in helping clients secure and optimize their computing environments.",,,,,New
The Defence Works,https://www.crunchbase.com/organization/the-defence-works,"Cyber Security, Information Technology, Network Security, Security, Software",,The Defence Works is a leading provider of Security Awareness Training and Simulated Phishing,"201,839",1/7/16,day,https://thedefenceworks.com,info@thedefenceworks.com,"The Defence Works provide security awareness training and simulated phishing that finally delivers a positive security culture by focusing on what matters most - your employees. No more tedious security awareness training videos, pointless interactions or tick-box questions.  Instead, The Defence Works delivers brand-new content each and every month - providing employees with interactive, immersive, real-life scenarios (based on recent, real world events) to finally help them understand cyber and data security in an engaging, entertaining and relevant way.",,,,,New
Sectona,https://www.crunchbase.com/organization/sectona,"Cyber Security, Identity Management, Information Technology, Network Security","Andheri, Maharashtra, India","AT Sectona ,They are building an adaptive security platform to help organizations manage insider user attacks in multi perimeter environment","202,479",4/1/17,month,http://www.sectona.com/,info@sectona.com,"At Sectona, They are building an adaptive security platform to help organizations manage insider user attacks in multi perimeter environment.",,,,,New
Heuresy LLC,https://www.crunchbase.com/organization/heuresy-llc,"Blockchain, Cryptocurrency, Cyber Security, Internet of Things","Reston, Virginia, United States","Blockchain, Cyber Security, IoT, Integration Blockchain, Cyber Security, IoT, Integration Blockchain, Cyber Security, IoT, Integration","203,771",9/1/17,day,https://heuresy.com/,info@heuresy.com,"Heuresy has brought together best of breed in cybersecurity, blockchain, and IoT.  Integration has begun to solve the two main problems with the blockchain and cryptocurrency.  Cryptocurrency and Blockchain Problems  Problem 1:  Cryptocurrency is not secure – it relies on third party backend servers and hackable wallets – with no recourse whatsoever.  Problem 2:  Growing cryptocurrencies are impacting ability of governments to manage money supply and enforce financial transaction controls. ",,,,,New
CybExer Technologies,https://www.crunchbase.com/organization/cybexer-technologies,"Cyber Security, Information Technology, Network Security","Tallinn, Harjumaa, Estonia",CybExer develop and commercialize specific cyber security products by combining the expertise and experience of two founding companies.,"204,891",1/1/16,year,https://cybexer.com/,info@cybexer.com,"CybExer Technologies OÜ is a joint company established by two well-known Estonian cyber security and cyber solutions companies BHC Laboratory OÜ and Bytelife Solutions OÜ. Both companies have 50% share in Cybexer Technologies OÜ. Cybexer Technologies OÜ was established to develop and commercialize specific cyber security products by combining the expertise and experience of two founding companies. Bytelife Solutions OÜ is one of the leading cyber infrastructure and software development companies in Estonia with excellent track record in implementing complex, large-scale cyber projects. BHC Laboratory OÜ is cyber capabilities development company, that is mostly focused on serving international clients while maintaining strong relations with key Estonian clients.",,,,,New
Vairav Technology,https://www.crunchbase.com/organization/vairav-technology,"Consulting, Cyber Security, Information Technology, Network Security, Penetration Testing",,"A Managed Security Sevice Provider based in Kathmandu Nepal, helps organization to fight cyber-crime, protect data and reduce security risk.","205,383",2/18/19,day,https://vairav.net,mail@vairav.net,"A cyber security firm specializing in SOC Service, Information System Audit, Security Audit and Cyber Security Management.",,,,,New
Black Mesa Systems,https://www.crunchbase.com/organization/black-mesa-systems,"Cyber Security, Health Care, Medical Device, Network Security",,"Medical Device Security, SaaS","206,452",7/1/17,month,http://www.blackmesasystems.com/,,"Black Mesa Systems provides a comprehensive platform for securing networked medical devices that are connected to electronic medical records, device servers, and other enterprise systems. Combining the knowledge and understanding of security, HIPAA compliance, data analytics Black Mesa Systems delivers complete visibility and segmentation into the medical device network. Black Mesa Systems creates security to ensure that medical devices, hospital network and patients are protected. ",,,,,New
Padlock,https://www.crunchbase.com/organization/padlock,Cyber Security,"London, England, United Kingdom","Cybersecurity expertise, on demand","206,761",8/1/18,day,https://padlock.digital,contact@padlock.digital,"Padlock is a frictionless cybersecurity consultancy platform connecting businesses with freelance cybersecurity expertise.  Cybersecurity expertise, on demand.",,,,,New
Primeauth,https://www.crunchbase.com/organization/primeauth,"Cyber Security, Information Technology, Security","Hyderabad, Andhra Pradesh, India","Primeauth is a cyber security company with powerful, ground breaking products under their belt.","208,104",8/1/16,day,https://primeauth.com,,,,,,,New
Werbot,https://www.crunchbase.com/organization/werbot,"Cyber Security, Developer Tools, Enterprise Software, Network Security, SaaS, Software",,Monitoring and control of access to servers,"208,824",10/28/18,day,https://werbot.com,info@werbot.com,"We are developing a SaaS platform that allows the secure sharing of pseudo-access to servers among employees or freelancers without worrying about server security. Our platform allows safe storage of original access in one place for the purpose of controlling the work performed by employees on servers, auditing their work, and controlling the overall security of the system. Every server owner using Werbot will know exactly who has access to the server, what each user is doing, and when they are doing it, simply by viewing the screen records. The owner can grant or deny access in a few seconds. The server access password is known only to its owner, while employees can only log in using the access provided by Werbot.",,,,,New
XZEN,https://www.crunchbase.com/organization/xzen,"Blockchain, Cryptocurrency, Cyber Security, Financial Exchanges, FinTech",,Global financial platfrom on blockchain,"208,915",6/1/17,day,https://xzen.io/,info@xzen.io,"XZEN helps people to become financially independent from banks and governments by allowing them to send, change or pay in one of many currencies in seconds and with minimal fees. XZEN products: XZEN APP. Single access to crypto and fiat currencies. - Buying cryptocurrencies for fiat with minimal fees  - Online exchange of 30 crypto and fiat currencies at the best rates - Zero-fee instant local and international transfers - NFC payments for goods and services worldwide XZEN wallet. Maximum security of cold storage - Secure CPU and fingerprint authentication - NFC payments for goods and services - Encrypted wireless connectivity via Bluetooth - High resolution touch screen for convenient use XZEN multicard. One payment card for all accounts Our mission is to bring benefits of blockchain to as many people as possible and give them a new level of financial freedom, while focusing on maximum security of asset storage, low comissions and everyday ease of use.",,,,,New
AC/DC_net,https://www.crunchbase.com/organization/ac-dc-net,"Cyber Security, Information Technology, Network Security","Ra'ananna, HaMerkaz, Israel",A new level of security,"209,255",1/1/17,day,http://www.acdc-net.com/,noam@masterkey-digital.com,,,,,,New
Mi-Sec,https://www.crunchbase.com/organization/mi-sec,"Analytics, Big Data, CRM, Cyber Security, Information Technology, Software",,"Big Data, Machine Learning and AI Security Company","209,540",1/15/19,day,https://mi-sec.com,info@mi-sec.com,,,,,,New
UnderDefense,https://www.crunchbase.com/organization/underdefense,"Cloud Security, Cyber Security, Fraud Detection, Information Technology, Network Security","New York, New York, United States","UnderDefence are dedicated to supporting organizations around the world in planning, managing, and running successful Security Operations.","210,667",10/1/16,month,https://underdefense.com,help@underdefense.com,"UnderDefense is a boutique cybersecurity company with proven capabilities to deliver security services and experts on demand covering offensive and defensive security needs. We cover 24/7 security monitoring with incident detection and response, vCISO, compliance audits, assessments and penetration testing.  The founder of the company and senior security analysts have over a decade of experience in the cybersecurity domain, helping fortune 500 companies to stay in the game while cyberwar never stops. We are in Top 5 out of 786 cybersecurity companies by Clutch. View the feedback from our clients on executed projects here https://clutch.co/profile/underdefense#reviews.",,,,,New
DATO,https://www.crunchbase.com/organization/dato,"Cyber Security, Management Consulting, Risk Management","São Paulo, Sao Paulo, Brazil",DATO is a management consulting company that aims to help customers of any size to protect and regulate their data access.,"211,713",1/1/17,year,https://www.dato.net.br/,contato@dato.net.br,"DATO is a management consulting company that aims to help customers of any size to protect and regulate their data access, measuring risk in cybersecurity environments. It provides visibility into technology processes and cybersecurity management in a clear and effective way. It creates a differentiated model in data protection and management, where the customer and DATO Technology together define the best model.  The company was founded in 2017 and is based in São Paulo, Brazil.",,,,,New
Tesseract Global,https://www.crunchbase.com/organization/tesseract-global,Cyber Security,"Mumbai, Maharashtra, India",Tesseract Global's Peerlox is SaaS based enterprise endpoint security to combat advance threats with deep-learning & bio-metric dynamics.,"216,710",12/1/16,month,https://www.tesseract.global,info@tesseract.global,Tesseract Global is helping organisations with Endpoint detection and response platform to defeat targeted attacks before damage with earliest response.  ,,,,,New
